rank,document,verdict
1,dok385.txt,WA
2,dok142.txt,AC
3,dok71.txt,AC
4,dok6.txt,WA
5,dok77.txt,WA
6,dok24.txt,WA
7,dok95.txt,WA
8,dok240.txt,WA
9,dok365.txt,WA
10,dok269.txt,WA
11,dok4.txt,WA
12,dok75.txt,WA
13,dok394.txt,WA
14,dok126.txt,WA
15,dok55.txt,WA
16,dok157.txt,WA
17,dok253.txt,WA
18,dok25.txt,WA
19,dok96.txt,WA
20,dok275.txt,WA
21,dok115.txt,WA
22,dok44.txt,WA
23,dok198.txt,WA
24,dok343.txt,WA
25,dok188.txt,WA
26,dok243.txt,WA
27,dok402.txt,WA
28,dok189.txt,WA
29,dok319.txt,WA
30,dok181.txt,WA
31,dok111.txt,WA
32,dok40.txt,WA
33,dok337.txt,WA
34,dok180.txt,WA
35,dok397.txt,WA
36,dok368.txt,WA
37,dok280.txt,WA
38,dok291.txt,WA
39,dok347.txt,WA
40,dok131.txt,WA
41,dok60.txt,WA
42,dok384.txt,WA
43,dok387.txt,WA
44,dok179.txt,WA
45,dok149.txt,WA
46,dok248.txt,WA
47,dok186.txt,WA
48,dok203.txt,WA
49,dok170.txt,WA
50,dok21.txt,WA
