rank,document,verdict
1,dok253.txt,WA
2,dok24.txt,WA
3,dok95.txt,WA
4,dok402.txt,WA
5,dok372.txt,WA
6,dok269.txt,WA
7,dok248.txt,WA
8,dok385.txt,WA
9,dok393.txt,WA
10,dok274.txt,WA
11,dok186.txt,WA
12,dok198.txt,WA
13,dok3.txt,WA
14,dok74.txt,WA
15,dok108.txt,WA
16,dok37.txt,WA
17,dok6.txt,WA
18,dok77.txt,WA
19,dok384.txt,WA
20,dok4.txt,WA
21,dok75.txt,WA
22,dok386.txt,WA
23,dok11.txt,WA
24,dok82.txt,WA
25,dok25.txt,WA
26,dok96.txt,WA
27,dok201.txt,WA
28,dok157.txt,WA
29,dok357.txt,WA
30,dok387.txt,WA
31,dok242.txt,WA
32,dok7.txt,WA
33,dok78.txt,WA
34,dok231.txt,WA
35,dok351.txt,WA
36,dok147.txt,WA
37,dok153.txt,WA
38,dok289.txt,WA
39,dok102.txt,WA
40,dok31.txt,WA
41,dok204.txt,WA
42,dok5.txt,WA
43,dok76.txt,WA
44,dok129.txt,AC
45,dok58.txt,AC
46,dok126.txt,WA
47,dok55.txt,WA
48,dok243.txt,WA
49,dok2.txt,WA
50,dok73.txt,WA
51,dok396.txt,WA
