rank,document,verdict
1,dok253.txt,WA
2,dok385.txt,WA
3,dok394.txt,WA
4,dok402.txt,WA
5,dok319.txt,WA
6,dok142.txt,WA
7,dok71.txt,WA
8,dok189.txt,WA
9,dok117.txt,WA
10,dok46.txt,WA
11,dok248.txt,WA
12,dok343.txt,WA
13,dok376.txt,WA
14,dok111.txt,WA
15,dok40.txt,WA
16,dok261.txt,WA
17,dok149.txt,WA
18,dok368.txt,WA
19,dok161.txt,WA
20,dok172.txt,WA
21,dok213.txt,WA
22,dok399.txt,WA
23,dok275.txt,WA
24,dok236.txt,WA
25,dok144.txt,WA
26,dok298.txt,WA
27,dok202.txt,WA
28,dok269.txt,WA
29,dok270.txt,WA
30,dok378.txt,WA
31,dok400.txt,WA
32,dok365.txt,WA
33,dok140.txt,WA
34,dok69.txt,WA
35,dok274.txt,WA
36,dok115.txt,WA
37,dok44.txt,WA
38,dok228.txt,WA
39,dok338.txt,WA
40,dok209.txt,WA
41,dok257.txt,WA
42,dok176.txt,WA
43,dok150.txt,WA
44,dok235.txt,WA
45,dok272.txt,WA
46,dok230.txt,WA
47,dok284.txt,WA
48,dok169.txt,WA
49,dok353.txt,WA
50,dok148.txt,AC
51,dok285.txt,AC
52,dok217.txt,WA
53,dok227.txt,WA
54,dok205.txt,WA
55,dok232.txt,WA
56,dok366.txt,WA
57,dok260.txt,WA
58,dok186.txt,WA
59,dok351.txt,WA
60,dok210.txt,WA
61,dok379.txt,WA
62,dok377.txt,WA
63,dok256.txt,WA
64,dok188.txt,WA
65,dok347.txt,WA
66,dok231.txt,WA
67,dok146.txt,WA
68,dok249.txt,WA
69,dok401.txt,WA
70,dok131.txt,WA
71,dok60.txt,WA
72,dok374.txt,WA
73,dok208.txt,WA
74,dok193.txt,WA
75,dok237.txt,WA
76,dok262.txt,WA
77,dok278.txt,WA
78,dok352.txt,WA
79,dok222.txt,WA
80,dok247.txt,WA
81,dok293.txt,WA
82,dok195.txt,WA
83,dok335.txt,WA
84,dok203.txt,WA
85,dok283.txt,WA
86,dok243.txt,WA
87,dok166.txt,WA
88,dok314.txt,WA
89,dok301.txt,WA
90,dok192.txt,WA
91,dok190.txt,WA
92,dok240.txt,WA
93,dok337.txt,WA
94,dok241.txt,WA
95,dok183.txt,WA
96,dok181.txt,WA
97,dok266.txt,WA
98,dok16.txt,WA
99,dok87.txt,WA
