rank,document,verdict
1,dok124.txt,AC
2,dok53.txt,AC
3,dok209.txt,WA
4,dok129.txt,WA
5,dok58.txt,WA
6,dok353.txt,WA
7,dok303.txt,WA
8,dok24.txt,WA
9,dok95.txt,WA
10,dok162.txt,WA
11,dok374.txt,WA
12,dok6.txt,WA
13,dok77.txt,WA
14,dok385.txt,WA
15,dok131.txt,WA
16,dok60.txt,WA
17,dok183.txt,WA
18,dok394.txt,WA
19,dok159.txt,WA
20,dok264.txt,WA
21,dok28.txt,WA
22,dok99.txt,WA
23,dok188.txt,WA
24,dok270.txt,WA
25,dok269.txt,WA
26,dok243.txt,WA
27,dok365.txt,WA
28,dok393.txt,WA
29,dok351.txt,WA
30,dok2.txt,WA
31,dok73.txt,WA
32,dok231.txt,WA
33,dok240.txt,WA
34,dok272.txt,WA
35,dok331.txt,WA
36,dok203.txt,WA
37,dok7.txt,WA
38,dok78.txt,WA
39,dok217.txt,WA
40,dok111.txt,WA
41,dok40.txt,WA
42,dok402.txt,WA
43,dok165.txt,WA
44,dok17.txt,WA
45,dok88.txt,WA
46,dok248.txt,WA
47,dok366.txt,WA
48,dok256.txt,WA
49,dok113.txt,WA
50,dok42.txt,WA
51,dok253.txt,WA
52,dok233.txt,WA
53,dok261.txt,WA
54,dok15.txt,WA
55,dok86.txt,WA
56,dok127.txt,WA
57,dok56.txt,WA
58,dok392.txt,WA
59,dok130.txt,WA
60,dok59.txt,WA
61,dok224.txt,WA
62,dok128.txt,WA
63,dok57.txt,WA
64,dok176.txt,WA
65,dok142.txt,WA
66,dok71.txt,WA
67,dok230.txt,WA
68,dok275.txt,WA
69,dok22.txt,WA
70,dok93.txt,WA
71,dok400.txt,WA
72,dok328.txt,WA
73,dok126.txt,WA
74,dok55.txt,WA
75,dok20.txt,WA
76,dok91.txt,WA
77,dok396.txt,WA
78,dok319.txt,WA
79,dok189.txt,WA
80,dok166.txt,WA
81,dok157.txt,WA
82,dok125.txt,WA
83,dok54.txt,WA
84,dok207.txt,WA
85,dok343.txt,WA
86,dok106.txt,WA
87,dok35.txt,WA
88,dok186.txt,WA
89,dok148.txt,WA
90,dok206.txt,WA
91,dok18.txt,WA
92,dok89.txt,WA
93,dok382.txt,WA
94,dok401.txt,WA
95,dok334.txt,WA
96,dok388.txt,WA
97,dok204.txt,WA
98,dok266.txt,WA
99,dok363.txt,WA
100,dok16.txt,WA
